m/z	i
3490.65 -3256
3491.01 -2604
3491.36 -973
3491.72 3412
3492.08 4406
3492.44 6754
3492.79 10385
3493.15 13611
3493.51 15446
3493.87 14454
3494.22 12913
3494.58 10995
3494.94 10070
3495.30 10016
3495.65 5815
3496.01 3672
3496.37 2146
3496.73 748
3497.08 -1297
3497.44 -2997
3497.80 -3013
3498.16 -3548
3498.51 -7125
3498.87 -8700
3499.23 -10428
3499.59 -12563
3499.95 -10925
3500.30 -9043
3500.66 -6331
3501.02 -883
3501.38 5026
3501.73 9133
3502.09 13970
3502.45 16726
3502.81 21908
3503.17 27178
3503.52 30018
3503.88 32013
3504.24 32486
3504.60 31754
3504.96 30316
3505.31 26946
3505.67 22701
3506.03 18063
3506.39 16495
3506.75 13922
3507.10 12190
3507.46 12241
3507.82 10605
3508.18 7655
3508.54 7479
3508.90 7172
3509.25 7936
3509.61 8165
3509.97 8914
3510.33 9121
3510.69 8344
3511.05 6169
3511.40 4967
3511.76 4414
3512.12 3890
3512.48 5853
3512.84 7505
3513.20 6007
3513.55 6658
3513.91 7354
3514.27 10563
3514.63 12403
3514.99 15127
3515.35 16271
3515.71 17239
3516.06 18074
3516.42 15227
3516.78 11373
3517.14 11043
3517.50 12626
3517.86 11166
3518.22 8989
3518.57 6438
3518.93 1313
3519.29 -3193
3519.65 -6286
3520.01 -6036
3520.37 -3110
3520.73 -125
3521.09 2336
3521.44 3096
3521.80 2740
3522.16 5048
3522.52 7690
3522.88 10632
3523.24 11622
3523.60 11142
3523.96 9753
3524.32 8802
3524.68 6842
3525.03 2216
3525.39 -1668
3525.75 -3271
3526.11 -6263
3526.47 -10094
3526.83 -8843
3527.19 -6588
3527.55 -5257
3527.91 -5493
3528.27 -4560
3528.63 -698
3528.99 3831
3529.34 5599
3529.70 7807
3530.06 10321
3530.42 13390
3530.78 15336
3531.14 15464
3531.50 13766
3531.86 10400
3532.22 9044
3532.58 7548
3532.94 6631
3533.30 5533
3533.66 2583
3534.02 -39
3534.38 562
3534.74 4305
3535.10 7874
3535.45 12320
3535.81 16304
3536.17 19001
3536.53 19472
3536.89 20191
3537.25 19825
3537.61 19779
3537.97 18069
3538.33 15280
3538.69 11500
3539.05 9394
3539.41 6998
3539.77 3906
3540.13 1436
3540.49 -2114
3540.85 -2292
3541.21 -1986
3541.57 478
3541.93 301
3542.29 -1022
3542.65 147
3543.01 5008
3543.37 8998
3543.73 10766
3544.09 13096
3544.45 15165
3544.81 15845
3545.17 15463
3545.53 14392
3545.89 11754
3546.25 11285
3546.61 10382
3546.97 8315
3547.33 5641
3547.69 6175
3548.05 7339
3548.41 4417
3548.77 3569
3549.13 4279
3549.49 7066
3549.85 10946
3550.21 14269
3550.57 14617
3550.93 14896
3551.29 14617
3551.65 12912
3552.02 10466
3552.38 9035
3552.74 4540
3553.10 558
3553.46 62
3553.82 674
3554.18 342
3554.54 525
3554.90 3253
3555.26 4116
3555.62 -203
3555.98 -4524
3556.34 -2918
3556.70 141
3557.06 45
3557.42 4246
3557.78 7349
3558.15 8409
3558.51 11911
3558.87 13611
3559.23 12281
3559.59 11923
3559.95 8196
3560.31 5306
3560.67 5331
3561.03 4553
3561.39 1231
3561.75 2393
3562.11 6170
3562.48 9769
3562.84 10816
3563.20 11300
3563.56 10288
3563.92 5411
3564.28 -249
3564.64 -3104
3565.00 -2136
3565.36 -775
3565.73 -1996
3566.09 -2111
3566.45 -4953
3566.81 -5316
3567.17 -4837
3567.53 -7312
3567.89 -10060
3568.25 -11756
3568.61 -12602
3568.98 -9164
3569.34 -10300
3569.70 -9655
3570.06 -6605
3570.42 -2047
3570.78 1777
3571.14 4441
3571.51 4461
3571.87 6413
3572.23 8429
3572.59 9075
3572.95 11154
3573.31 12971
3573.67 15141
3574.04 15422
3574.40 14562
3574.76 13224
3575.12 12071
3575.48 11717
3575.84 8060
3576.21 4318
3576.57 4125
3576.93 4702
3577.29 7688
3577.65 9524
3578.01 10548
3578.38 12896
3578.74 15911
3579.10 16145
3579.46 17611
3579.82 20867
3580.19 21017
3580.55 19765
3580.91 18310
3581.27 17738
3581.63 17257
3582.00 15531
3582.36 12701
3582.72 10344
3583.08 8556
3583.44 6056
3583.81 1652
3584.17 -1279
3584.53 -3314
3584.89 -5788
3585.25 -7995
3585.62 -9906
3585.98 -9311
3586.34 -7971
3586.70 -5718
3587.06 -5326
3587.43 -3071
3587.79 800
3588.15 6516
3588.51 11857
3588.88 14687
3589.24 17061
3589.60 19730
3589.96 21577
3590.33 21691
3590.69 21582
3591.05 20683
3591.41 18760
3591.77 15941
3592.14 11747
3592.50 4532
3592.86 571
3593.22 -6476
3593.59 -14719
3593.95 -17903
3594.31 -18527
3594.68 -21120
3595.04 -24355
3595.40 -24994
3595.76 -24075
3596.13 -22241
3596.49 -20000
3596.85 -16941
3597.21 -10762
3597.58 -2894
3597.94 1041
3598.30 4260
3598.67 10560
3599.03 18030
3599.39 24897
3599.75 29666
3600.12 33080
3600.48 35234
3600.84 36391
3601.21 35993
3601.57 36561
3601.93 36771
3602.29 38748
3602.66 39812
3603.02 38492
3603.38 34010
3603.75 29779
3604.11 26138
3604.47 21820
3604.84 16476
3605.20 15419
3605.56 18416
3605.93 21206
3606.29 21831
3606.65 19309
3607.01 18343
3607.38 17580
3607.74 17203
3608.10 19817
3608.47 22773
3608.83 24644
3609.19 25976
3609.56 27184
3609.92 26676
3610.28 30169
3610.65 34622
3611.01 37134
3611.37 36500
3611.74 34982
3612.10 32453
3612.47 30208
3612.83 26642
3613.19 23581
3613.56 23774
3613.92 25274
3614.28 23463
3614.65 17125
3615.01 10207
3615.37 4358
3615.74 -1573
3616.10 -5131
3616.47 -2868
3616.83 753
3617.19 1915
3617.56 2198
3617.92 1868
3618.28 -452
3618.65 -2175
3619.01 -453
3619.38 453
3619.74 800
3620.10 2037
3620.47 3914
3620.83 4167
3621.20 2414
3621.56 996
3621.92 3175
3622.29 5908
3622.65 6630
3623.02 5696
3623.38 1587
3623.74 -674
3624.11 -1925
3624.47 -1760
3624.84 936
3625.20 3835
3625.56 6020
3625.93 7780
3626.29 6184
3626.66 699
3627.02 -4146
3627.39 -2430
3627.75 2685
3628.11 6258
3628.48 9222
3628.84 10357
3629.21 11175
3629.57 9377
3629.94 8944
3630.30 11813
3630.66 13639
3631.03 12881
3631.39 9930
3631.76 3997
3632.12 -2113
3632.49 -6427
3632.85 -10867
3633.22 -11175
3633.58 -12105
3633.94 -12987
3634.31 -16289
3634.67 -21929
3635.04 -28041
3635.40 -31964
3635.77 -29159
3636.13 -24192
3636.50 -21898
3636.86 -22258
3637.23 -20245
3637.59 -17778
3637.96 -12653
3638.32 -8952
3638.69 -5915
3639.05 -1861
3639.42 2360
3639.78 5181
3640.15 3678
3640.51 4840
3640.88 8007
3641.24 10773
3641.61 14493
3641.97 19138
3642.34 22338
3642.70 23652
3643.07 22161
3643.43 20409
3643.80 19348
3644.16 19161
3644.53 19476
3644.89 17290
3645.26 14825
3645.62 12304
3645.99 13237
3646.35 14539
3646.72 15206
3647.08 15164
3647.45 13176
3647.81 14359
3648.18 16462
3648.54 13912
3648.91 9251
3649.27 6695
3649.64 4235
3650.01 2531
3650.37 781
3650.74 -935
3651.10 -1189
3651.47 -4666
3651.83 -7730
3652.20 -7848
3652.56 -6932
3652.93 -6222
3653.29 -5078
3653.66 -2660
3654.03 -545
3654.39 582
3654.76 3767
3655.12 6543
3655.49 7876
3655.85 10554
3656.22 13740
3656.59 17679
3656.95 21015
3657.32 22053
3657.68 22865
3658.05 25251
3658.41 27222
3658.78 27449
3659.15 28755
3659.51 28260
3659.88 28754
3660.24 29035
3660.61 32647
3660.98 35139
3661.34 37050
3661.71 38635
3662.07 39878
3662.44 38594
3662.81 34741
3663.17 30223
3663.54 27470
3663.90 25699
3664.27 23708
3664.64 21926
3665.00 21884
3665.37 22956
3665.74 24899
3666.10 24378
3666.47 23211
3666.83 22623
3667.20 19925
3667.57 18272
3667.93 18769
3668.30 17511
3668.67 16678
3669.03 14961
3669.40 12528
3669.76 10258
3670.13 11893
3670.50 12006
3670.86 11841
3671.23 9808
3671.60 6606
3671.96 4452
3672.33 3887
3672.70 4260
3673.06 2919
3673.43 1636
3673.80 4053
3674.16 6100
3674.53 4340
3674.90 2303
3675.26 3686
3675.63 6337
3676.00 7008
3676.36 8328
3676.73 9501
3677.10 9089
3677.46 9224
3677.83 12059
3678.20 13811
3678.56 17353
3678.93 22473
3679.30 26912
3679.66 29935
3680.03 30823
3680.40 31809
3680.77 30636
3681.13 27309
3681.50 23972
3681.87 17226
3682.23 12830
3682.60 11032
3682.97 9458
3683.33 7040
3683.70 7952
3684.07 8452
3684.44 8798
3684.80 8900
3685.17 11034
3685.54 14121
3685.90 15866
3686.27 18899
3686.64 20855
3687.01 20558
3687.37 24347
3687.74 27939
3688.11 29341
3688.48 29776
3688.84 29890
3689.21 28508
3689.58 24332
3689.95 20855
3690.31 18577
3690.68 16464
3691.05 19157
3691.41 22159
3691.78 21491
3692.15 19004
3692.52 19605
3692.89 17656
3693.25 16105
3693.62 15186
3693.99 14464
3694.36 11770
3694.72 6641
3695.09 2959
3695.46 1338
3695.83 996
3696.19 1831
3696.56 65
3696.93 -1233
3697.30 -489
3697.67 618
3698.03 3175
3698.40 3791
3698.77 4563
3699.14 8809
3699.50 15718
3699.87 20761
3700.24 21585
3700.61 20160
3700.98 21854
3701.34 25047
3701.71 24997
3702.08 23589
3702.45 21636
3702.82 20600
3703.18 20150
3703.55 22212
3703.92 26562
3704.29 30460
3704.66 30834
3705.03 29152
3705.39 28063
3705.76 27475
3706.13 26443
3706.50 25255
3706.87 24484
3707.23 22626
3707.60 21460
3707.97 20479
3708.34 16675
3708.71 12638
3709.08 8883
3709.44 6901
3709.81 5783
3710.18 2824
3710.55 -882
3710.92 -4778
3711.29 -7104
3711.66 -7235
3712.02 -5536
3712.39 -5092
3712.76 -6803
3713.13 -9104
3713.50 -10441
3713.87 -13039
3714.24 -14180
3714.60 -14834
3714.97 -13617
3715.34 -10571
3715.71 -7827
3716.08 -6238
3716.45 -6517
3716.82 -5930
3717.19 -3200
3717.55 636
3717.92 3527
3718.29 5889
3718.66 7830
3719.03 7731
3719.40 7709
3719.77 8896
3720.14 10270
3720.50 10432
3720.87 12532
3721.24 11469
3721.61 9634
3721.98 6988
3722.35 4034
3722.72 883
3723.09 1354
3723.46 1535
3723.83 304
3724.20 224
3724.56 -975
3724.93 -3046
3725.30 -4077
3725.67 -1789
3726.04 1228
